id,city,temperature,humidity,description
1,Manaus,25.8,41,nuvens dispersas
2,Belo Horizonte,10.7,57,névoa
3,São Gonçalo,0.4,71,nuvens dispersas
4,São Paulo,-4.4,26,nuvens dispersas
5,Goiania,-0.4,21,céu limpo
6,Goiania,-0.2,66,neve
7,Campinas,7.0,90,nuvens dispersas
8,Goiania,32.6,61,névoa
9,São Luís,33.7,93,neve
10,Duque de Caxias,37.3,33,neve
11,Porto Alegre,3.2,89,poucas nuvens
12,Manaus,6.4,99,névoa
13,São Gonçalo,30.6,93,chuva leve
14,Maceió,25.6,29,trovoada
15,São Paulo,20.3,79,névoa
16,São Luís,29.1,28,nuvens dispersas
17,Goiania,22.0,68,nuvens dispersas
18,Salvador,30.6,43,névoa
19,São Luís,39.9,74,neve
20,Rio de Janeiro,16.3,78,chuva leve
21,Belo Horizonte,-4.0,87,chuva
22,Belo Horizonte,25.9,98,poucas nuvens
23,Belo Horizonte,27.4,31,nuvens quebradas
24,Brasília,27.7,67,poucas nuvens
25,Brasília,10.3,57,nuvens dispersas
26,Salvador,31.3,50,trovoada
27,Brasília,-1.4,75,névoa
28,Goiania,29.3,44,chuva
29,Fortaleza,2.8,21,nuvens quebradas
30,São Gonçalo,11.5,32,céu limpo
31,Salvador,37.1,75,nuvens quebradas
32,Brasília,2.4,20,poucas nuvens
33,Manaus,6.9,34,nuvens quebradas
34,São Gonçalo,-4.5,62,trovoada
35,Rio de Janeiro,26.1,96,céu limpo
36,Curitiba,19.0,66,chuva leve
37,Duque de Caxias,29.4,61,nuvens dispersas
38,Natal,11.2,64,poucas nuvens
39,São Luís,30.4,40,neve
40,Belo Horizonte,7.6,67,neve
41,Recife,25.1,88,névoa
42,São Gonçalo,35.4,44,névoa
43,São Gonçalo,5.1,77,trovoada
44,Brasília,30.7,78,neve
45,Curitiba,21.1,94,nuvens quebradas
46,Salvador,8.4,90,névoa
47,Maceió,7.8,25,chuva
48,São Luís,20.9,91,céu limpo
49,São Gonçalo,-3.5,41,nuvens dispersas
50,Campinas,13.3,55,poucas nuvens
51,São Luís,8.8,71,céu limpo
52,Salvador,22.1,55,névoa
53,Salvador,10.7,75,chuva
54,São Paulo,39.8,75,céu limpo
55,Porto Alegre,28.6,22,trovoada
56,Teresina,32.1,58,nuvens dispersas
57,Natal,25.4,26,chuva leve
58,São Paulo,30.8,91,névoa
59,Maceió,11.2,48,névoa
